"Fact","Fact Note","Allen Park city, Michigan","Value Note for Allen Park city, Michigan"
"Population estimates, July 1, 2024, (V2024)","","NA",""
"Population estimates, July 1, 2023, (V2023)","","27,528",""
"Population estimates base, April 1, 2020, (V2024)","","NA",""
"Population estimates base, April 1, 2020, (V2023)","","28,650",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.9%",""
"Population, Census, April 1, 2020","","28,638",""
"Population, Census, April 1, 2010","","28,210",""
"Persons under 5 years, percent","","4.3%",""
"Persons under 18 years, percent","","20.1%",""
"Persons 65 years and over, percent","","18.3%",""
"Female persons, percent","","52.9%",""
"White alone, percent","","82.4%",""
"Black alone, percent (a)","(a)","4.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.2%",""
"Asian alone, percent (a)","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","7.8%",""
"Hispanic or Latino, percent (b)","(b)","12.6%",""
"White alone, not Hispanic or Latino, percent","","77.2%",""
"Veterans, 2019-2023","","1,421",""
"Foreign-born persons, percent, 2019-2023","","5.1%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","86.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$174,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,428",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$587",""
"Median gross rent, 2019-2023","","$1,181",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","11,822",""
"Persons per household, 2019-2023","","2.37",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.9%",""
"Households with a computer, percent, 2019-2023","","94.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","29.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.5%",""
"Persons without health insurance, under age 65 years, percent","","2.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","61.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","115,360",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","161,422",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","35,877",""
"Total retail sales, 2022 ($1,000)","(c)","526,312",""
"Total retail sales per capita, 2022","(c)","$18,914",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.0",""
"Median households income (in 2023 dollars), 2019-2023","","$80,045",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$42,213",""
"Persons in poverty, percent","","6.1%",""
"Total employer establishments, 2022","","X",""
"Total employment, 2022","","X",""
"Total annual payroll, 2022 ($1,000)","","X",""
"Total employment, percent change, 2021-2022","","X",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","456",""
"Men-owned employer firms, Reference year 2022","","219",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","349",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","359",""
"Population per square mile, 2020","","4,094.1",""
"Population per square mile, 2010","","4,027.8",""
"Land area in square miles, 2020","","7.00",""
"Land area in square miles, 2010","","7.00",""
"FIPS Code","","""2601380""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
