"Fact","Fact Note","Ann Arbor city, Michigan","Value Note for Ann Arbor city, Michigan"
"Population estimates, July 1, 2024, (V2024)","","NA",""
"Population estimates, July 1, 2023, (V2023)","","119,381",""
"Population estimates base, April 1, 2020, (V2024)","","NA",""
"Population estimates base, April 1, 2020, (V2023)","","123,875",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.6%",""
"Population, Census, April 1, 2020","","123,851",""
"Population, Census, April 1, 2010","","113,934",""
"Persons under 5 years, percent","","3.8%",""
"Persons under 18 years, percent","","12.6%",""
"Persons 65 years and over, percent","","12.7%",""
"Female persons, percent","","50.2%",""
"White alone, percent","","68.8%",""
"Black alone, percent (a)","(a)","7.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","15.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","7.3%",""
"Hispanic or Latino, percent (b)","(b)","5.4%",""
"White alone, not Hispanic or Latino, percent","","66.7%",""
"Veterans, 2019-2023","","2,575",""
"Foreign-born persons, percent, 2019-2023","","18.7%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","45.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$435,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,396",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$986",""
"Median gross rent, 2019-2023","","$1,552",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","49,907",""
"Persons per household, 2019-2023","","2.19",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","65.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","22.4%",""
"Households with a computer, percent, 2019-2023","","98.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","93.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","97.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","77.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","5.9%",""
"Persons without health insurance, under age 65 years, percent","","3.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","686,905",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","6,680,393",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","87,263",""
"Total retail sales, 2022 ($1,000)","(c)","2,220,331",""
"Total retail sales per capita, 2022","(c)","$18,514",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.9",""
"Median households income (in 2023 dollars), 2019-2023","","$81,089",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$54,604",""
"Persons in poverty, percent","","23.0%",""
"Total employer establishments, 2022","","X",""
"Total employment, 2022","","X",""
"Total annual payroll, 2022 ($1,000)","","X",""
"Total employment, percent change, 2021-2022","","X",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","2,789",""
"Men-owned employer firms, Reference year 2022","","1,557",""
"Women-owned employer firms, Reference year 2022","","555",""
"Minority-owned employer firms, Reference year 2022","","393",""
"Nonminority-owned employer firms, Reference year 2022","","1,883",""
"Veteran-owned employer firms, Reference year 2022","","102",""
"Nonveteran-owned employer firms, Reference year 2022","","2,208",""
"Population per square mile, 2020","","4,391.9",""
"Population per square mile, 2010","","4,094.0",""
"Land area in square miles, 2020","","28.20",""
"Land area in square miles, 2010","","27.83",""
"FIPS Code","","""2603000""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
