"Fact","Fact Note","Big Rapids city, Michigan","Value Note for Big Rapids city, Michigan"
"Population estimates, July 1, 2024, (V2024)","","NA",""
"Population estimates, July 1, 2023, (V2023)","","7,912",""
"Population estimates base, April 1, 2020, (V2024)","","NA",""
"Population estimates base, April 1, 2020, (V2023)","","7,730",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.4%",""
"Population, Census, April 1, 2020","","7,727",""
"Population, Census, April 1, 2010","","10,601",""
"Persons under 5 years, percent","","2.3%",""
"Persons under 18 years, percent","","12.3%",""
"Persons 65 years and over, percent","","10.0%",""
"Female persons, percent","","47.4%",""
"White alone, percent","","86.5%",""
"Black alone, percent (a)","(a)","6.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.6%",""
"Asian alone, percent (a)","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.6%",""
"Hispanic or Latino, percent (b)","(b)","5.2%",""
"White alone, not Hispanic or Latino, percent","","84.4%",""
"Veterans, 2019-2023","","241",""
"Foreign-born persons, percent, 2019-2023","","1.1%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","40.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$134,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,175",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$452",""
"Median gross rent, 2019-2023","","$815",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","2,796",""
"Persons per household, 2019-2023","","2.07",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","60.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.2%",""
"Households with a computer, percent, 2019-2023","","96.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","81.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","28.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.3%",""
"Persons without health insurance, under age 65 years, percent","","5.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","67.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","49,192",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","NA",""
"Total retail sales, 2022 ($1,000)","(c)","140,208",""
"Total retail sales per capita, 2022","(c)","$17,818",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","15.1",""
"Median households income (in 2023 dollars), 2019-2023","","$40,197",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$20,904",""
"Persons in poverty, percent","","35.4%",""
"Total employer establishments, 2022","","X",""
"Total employment, 2022","","X",""
"Total annual payroll, 2022 ($1,000)","","X",""
"Total employment, percent change, 2021-2022","","X",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","266",""
"Men-owned employer firms, Reference year 2022","","138",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","165",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","164",""
"Population per square mile, 2020","","1,738.4",""
"Population per square mile, 2010","","2,429.3",""
"Land area in square miles, 2020","","4.45",""
"Land area in square miles, 2010","","4.36",""
"FIPS Code","","""2608300""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
