"Fact","Fact Note","East Lansing city, Michigan","Value Note for East Lansing city, Michigan"
"Population estimates, July 1, 2024, (V2024)","","NA",""
"Population estimates, July 1, 2023, (V2023)","","48,528",""
"Population estimates base, April 1, 2020, (V2024)","","NA",""
"Population estimates base, April 1, 2020, (V2023)","","47,748",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.6%",""
"Population, Census, April 1, 2020","","47,741",""
"Population, Census, April 1, 2010","","48,579",""
"Persons under 5 years, percent","","2.2%",""
"Persons under 18 years, percent","","9.0%",""
"Persons 65 years and over, percent","","8.5%",""
"Female persons, percent","","50.8%",""
"White alone, percent","","73.8%",""
"Black alone, percent (a)","(a)","7.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.2%",""
"Asian alone, percent (a)","(a)","9.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","7.8%",""
"Hispanic or Latino, percent (b)","(b)","6.3%",""
"White alone, not Hispanic or Latino, percent","","71.9%",""
"Veterans, 2019-2023","","762",""
"Foreign-born persons, percent, 2019-2023","","10.8%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","38.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$251,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,859",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$849",""
"Median gross rent, 2019-2023","","$1,122",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","13,914",""
"Persons per household, 2019-2023","","2.17",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","56.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","15.5%",""
"Households with a computer, percent, 2019-2023","","98.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","98.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","67.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.3%",""
"Persons without health insurance, under age 65 years, percent","","6.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","159,046",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","381,834",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","6,163",""
"Total retail sales, 2022 ($1,000)","(c)","492,663",""
"Total retail sales per capita, 2022","(c)","$10,423",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","16.8",""
"Median households income (in 2023 dollars), 2019-2023","","$43,547",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,162",""
"Persons in poverty, percent","","34.1%",""
"Total employer establishments, 2022","","X",""
"Total employment, 2022","","X",""
"Total annual payroll, 2022 ($1,000)","","X",""
"Total employment, percent change, 2021-2022","","X",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","761",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","550",""
"Population per square mile, 2020","","3,554.5",""
"Population per square mile, 2010","","3,573.5",""
"Land area in square miles, 2020","","13.43",""
"Land area in square miles, 2010","","13.59",""
"FIPS Code","","""2624120""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
