"Fact","Fact Note","Flint city, Michigan","Value Note for Flint city, Michigan"
"Population estimates, July 1, 2024, (V2024)","","NA",""
"Population estimates, July 1, 2023, (V2023)","","79,661",""
"Population estimates base, April 1, 2020, (V2024)","","NA",""
"Population estimates base, April 1, 2020, (V2023)","","81,269",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.0%",""
"Population, Census, April 1, 2020","","81,252",""
"Population, Census, April 1, 2010","","102,434",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","24.5%",""
"Persons 65 years and over, percent","","13.8%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","34.4%",""
"Black alone, percent (a)","(a)","56.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","6.9%",""
"Hispanic or Latino, percent (b)","(b)","4.5%",""
"White alone, not Hispanic or Latino, percent","","32.6%",""
"Veterans, 2019-2023","","3,294",""
"Foreign-born persons, percent, 2019-2023","","3.0%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","55.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$47,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,050",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$465",""
"Median gross rent, 2019-2023","","$859",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","33,670",""
"Persons per household, 2019-2023","","2.33",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.6%",""
"Households with a computer, percent, 2019-2023","","89.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","78.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","20.7%",""
"Persons without health insurance, under age 65 years, percent","","6.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","54.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","156,738",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,553,718",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","207,611",""
"Total retail sales, 2022 ($1,000)","(c)","814,977",""
"Total retail sales per capita, 2022","(c)","$10,207",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.9",""
"Median households income (in 2023 dollars), 2019-2023","","$36,194",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$20,799",""
"Persons in poverty, percent","","34.4%",""
"Total employer establishments, 2022","","X",""
"Total employment, 2022","","X",""
"Total annual payroll, 2022 ($1,000)","","X",""
"Total employment, percent change, 2021-2022","","X",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","953",""
"Men-owned employer firms, Reference year 2022","","499",""
"Women-owned employer firms, Reference year 2022","","184",""
"Minority-owned employer firms, Reference year 2022","","148",""
"Nonminority-owned employer firms, Reference year 2022","","562",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","657",""
"Population per square mile, 2020","","2,429.8",""
"Population per square mile, 2010","","3,065.4",""
"Land area in square miles, 2020","","33.44",""
"Land area in square miles, 2010","","33.42",""
"FIPS Code","","""2629000""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
