"Fact","Fact Note","United States","Value Note for United States"
"Population estimates, July 1, 2024, (V2024)","","340,110,988",""
"Population estimates, July 1, 2023, (V2023)","","334,914,895",""
"Population estimates base, April 1, 2020, (V2024)","","331,515,736",""
"Population estimates base, April 1, 2020, (V2023)","","331,464,948",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.0%",""
"Population, Census, April 1, 2020","","331,449,281",""
"Population, Census, April 1, 2010","","308,745,538",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","21.7%",""
"Persons 65 years and over, percent","","17.7%",""
"Female persons, percent","","50.5%",""
"White alone, percent","","75.3%",""
"Black alone, percent (a)","(a)","13.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.3%",""
"Asian alone, percent (a)","(a)","6.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","3.1%",""
"Hispanic or Latino, percent (b)","(b)","19.5%",""
"White alone, not Hispanic or Latino, percent","","58.4%",""
"Veterans, 2019-2023","","16,569,149",""
"Foreign-born persons, percent, 2019-2023","","13.9%",""
"Housing Units, July 1, 2023, (V2023)","","145,344,636",""
"Owner-occupied housing unit rate, 2019-2023","","65.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$303,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,902",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$612",""
"Median gross rent, 2019-2023","","$1,348",""
"Building Permits, 2023","","1,511,102",""
"Households, 2019-2023","","127,482,865",""
"Persons per household, 2019-2023","","2.54",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","22.0%",""
"Households with a computer, percent, 2019-2023","","94.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","35.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.1%",""
"Persons without health insurance, under age 65 years, percent","","9.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,196,315,575",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","3,330,304,719",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","1,316,303,546",""
"Total retail sales, 2022 ($1,000)","(c)","6,974,691,329",""
"Total retail sales per capita, 2022","(c)","$20,928",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.6",""
"Median households income (in 2023 dollars), 2019-2023","","$78,538",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$43,289",""
"Persons in poverty, percent","","11.1%",""
"Total employer establishments, 2022","","8,298,562",""
"Total employment, 2022","","135,748,407",""
"Total annual payroll, 2022 ($1,000)","","8,965,035,263",""
"Total employment, percent change, 2021-2022","","5.8%",""
"Total nonemployer establishments, 2022","","29,811,495",""
"All employer firms, Reference year 2022","","5,876,787",""
"Men-owned employer firms, Reference year 2022","","3,633,787",""
"Women-owned employer firms, Reference year 2022","","1,309,282",""
"Minority-owned employer firms, Reference year 2022","","1,326,462",""
"Nonminority-owned employer firms, Reference year 2022","","4,230,881",""
"Veteran-owned employer firms, Reference year 2022","","273,542",""
"Nonveteran-owned employer firms, Reference year 2022","","5,275,279",""
"Population per square mile, 2020","","93.8",""
"Population per square mile, 2010","","87.4",""
"Land area in square miles, 2020","","3,533,038.28",""
"Land area in square miles, 2010","","3,531,905.43",""
"FIPS Code","","""1""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
