"Fact","Fact Note","Jackson city, Michigan","Value Note for Jackson city, Michigan"
"Population estimates, July 1, 2024, (V2024)","","NA",""
"Population estimates, July 1, 2023, (V2023)","","30,854",""
"Population estimates base, April 1, 2020, (V2024)","","NA",""
"Population estimates base, April 1, 2020, (V2023)","","31,317",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.5%",""
"Population, Census, April 1, 2020","","31,309",""
"Population, Census, April 1, 2010","","33,534",""
"Persons under 5 years, percent","","6.4%",""
"Persons under 18 years, percent","","24.7%",""
"Persons 65 years and over, percent","","12.5%",""
"Female persons, percent","","52.4%",""
"White alone, percent","","65.7%",""
"Black alone, percent (a)","(a)","21.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.2%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","11.0%",""
"Hispanic or Latino, percent (b)","(b)","6.3%",""
"White alone, not Hispanic or Latino, percent","","63.9%",""
"Veterans, 2019-2023","","1,142",""
"Foreign-born persons, percent, 2019-2023","","2.0%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","53.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$94,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,010",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$475",""
"Median gross rent, 2019-2023","","$874",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","13,124",""
"Persons per household, 2019-2023","","2.33",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.5%",""
"Households with a computer, percent, 2019-2023","","94.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.9%",""
"Persons without health insurance, under age 65 years, percent","","9.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","103,889",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,145,545",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","25,142",""
"Total retail sales, 2022 ($1,000)","(c)","457,237",""
"Total retail sales per capita, 2022","(c)","$14,762",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","16.5",""
"Median households income (in 2023 dollars), 2019-2023","","$42,848",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$23,984",""
"Persons in poverty, percent","","25.5%",""
"Total employer establishments, 2022","","X",""
"Total employment, 2022","","X",""
"Total annual payroll, 2022 ($1,000)","","X",""
"Total employment, percent change, 2021-2022","","X",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","843",""
"Men-owned employer firms, Reference year 2022","","486",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","601",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","621",""
"Population per square mile, 2020","","2,888.6",""
"Population per square mile, 2010","","3,086.6",""
"Land area in square miles, 2020","","10.84",""
"Land area in square miles, 2010","","10.86",""
"FIPS Code","","""2641420""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
