"Fact","Fact Note","Midland city, Michigan","Value Note for Midland city, Michigan"
"Population estimates, July 1, 2024, (V2024)","","NA",""
"Population estimates, July 1, 2023, (V2023)","","42,663",""
"Population estimates base, April 1, 2020, (V2024)","","NA",""
"Population estimates base, April 1, 2020, (V2023)","","42,535",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.3%",""
"Population, Census, April 1, 2020","","42,547",""
"Population, Census, April 1, 2010","","41,863",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","21.6%",""
"Persons 65 years and over, percent","","20.0%",""
"Female persons, percent","","51.7%",""
"White alone, percent","","88.1%",""
"Black alone, percent (a)","(a)","2.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.1%",""
"Asian alone, percent (a)","(a)","3.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","3.9%",""
"Hispanic or Latino, percent (b)","(b)","4.6%",""
"White alone, not Hispanic or Latino, percent","","86.5%",""
"Veterans, 2019-2023","","1,962",""
"Foreign-born persons, percent, 2019-2023","","4.8%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","66.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$192,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,436",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$603",""
"Median gross rent, 2019-2023","","$990",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","18,062",""
"Persons per household, 2019-2023","","2.30",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.5%",""
"Households with a computer, percent, 2019-2023","","93.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","96.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","45.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.7%",""
"Persons without health insurance, under age 65 years, percent","","5.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","167,171",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,067,910",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","50,533",""
"Total retail sales, 2022 ($1,000)","(c)","1,437,519",""
"Total retail sales per capita, 2022","(c)","$33,766",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.0",""
"Median households income (in 2023 dollars), 2019-2023","","$74,906",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$43,613",""
"Persons in poverty, percent","","10.2%",""
"Total employer establishments, 2022","","X",""
"Total employment, 2022","","X",""
"Total annual payroll, 2022 ($1,000)","","X",""
"Total employment, percent change, 2021-2022","","X",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","955",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","154",""
"Minority-owned employer firms, Reference year 2022","","32",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","669",""
"Population per square mile, 2020","","1,237.9",""
"Population per square mile, 2010","","1,242.4",""
"Land area in square miles, 2020","","34.37",""
"Land area in square miles, 2010","","33.69",""
"FIPS Code","","""2653780""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
