"Fact","Fact Note","Muskegon city, Michigan","Value Note for Muskegon city, Michigan"
"Population estimates, July 1, 2024, (V2024)","","NA",""
"Population estimates, July 1, 2023, (V2023)","","37,183",""
"Population estimates base, April 1, 2020, (V2024)","","NA",""
"Population estimates base, April 1, 2020, (V2023)","","37,229",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.1%",""
"Population, Census, April 1, 2020","","38,318",""
"Population, Census, April 1, 2010","","38,401",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","22.7%",""
"Persons 65 years and over, percent","","14.4%",""
"Female persons, percent","","48.6%",""
"White alone, percent","","55.2%",""
"Black alone, percent (a)","(a)","29.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","11.2%",""
"Hispanic or Latino, percent (b)","(b)","11.0%",""
"White alone, not Hispanic or Latino, percent","","51.6%",""
"Veterans, 2019-2023","","1,766",""
"Foreign-born persons, percent, 2019-2023","","4.2%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","54.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$121,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,052",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$440",""
"Median gross rent, 2019-2023","","$927",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","13,721",""
"Persons per household, 2019-2023","","2.37",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","80.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.6%",""
"Households with a computer, percent, 2019-2023","","90.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.3%",""
"Persons without health insurance, under age 65 years, percent","","8.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","95,112",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,166,846",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","128,278",""
"Total retail sales, 2022 ($1,000)","(c)","1,134,825",""
"Total retail sales per capita, 2022","(c)","$30,542",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.9",""
"Median households income (in 2023 dollars), 2019-2023","","$46,342",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$24,864",""
"Persons in poverty, percent","","20.2%",""
"Total employer establishments, 2022","","X",""
"Total employment, 2022","","X",""
"Total annual payroll, 2022 ($1,000)","","X",""
"Total employment, percent change, 2021-2022","","X",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","523",""
"Men-owned employer firms, Reference year 2022","","272",""
"Women-owned employer firms, Reference year 2022","","89",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","326",""
"Veteran-owned employer firms, Reference year 2022","","3",""
"Nonveteran-owned employer firms, Reference year 2022","","375",""
"Population per square mile, 2020","","2,709.3",""
"Population per square mile, 2010","","2,702.2",""
"Land area in square miles, 2020","","14.14",""
"Land area in square miles, 2010","","14.21",""
"FIPS Code","","""2656320""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
