"Fact","Fact Note","Novi city, Michigan","Value Note for Novi city, Michigan"
"Population estimates, July 1, 2024, (V2024)","","NA",""
"Population estimates, July 1, 2023, (V2023)","","66,314",""
"Population estimates base, April 1, 2020, (V2024)","","NA",""
"Population estimates base, April 1, 2020, (V2023)","","66,239",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.1%",""
"Population, Census, April 1, 2020","","66,243",""
"Population, Census, April 1, 2010","","55,224",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","24.0%",""
"Persons 65 years and over, percent","","15.4%",""
"Female persons, percent","","51.6%",""
"White alone, percent","","58.9%",""
"Black alone, percent (a)","(a)","8.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.1%",""
"Asian alone, percent (a)","(a)","25.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","5.7%",""
"Hispanic or Latino, percent (b)","(b)","4.9%",""
"White alone, not Hispanic or Latino, percent","","56.9%",""
"Veterans, 2019-2023","","2,271",""
"Foreign-born persons, percent, 2019-2023","","27.4%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","68.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$399,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,407",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$904",""
"Median gross rent, 2019-2023","","$1,696",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","26,474",""
"Persons per household, 2019-2023","","2.49",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","31.7%",""
"Households with a computer, percent, 2019-2023","","98.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","96.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","96.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","61.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","5.5%",""
"Persons without health insurance, under age 65 years, percent","","4.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","302,999",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,193,659",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","198,590",""
"Total retail sales, 2022 ($1,000)","(c)","2,328,266",""
"Total retail sales per capita, 2022","(c)","$35,026",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.3",""
"Median households income (in 2023 dollars), 2019-2023","","$110,938",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$59,955",""
"Persons in poverty, percent","","4.7%",""
"Total employer establishments, 2022","","X",""
"Total employment, 2022","","X",""
"Total annual payroll, 2022 ($1,000)","","X",""
"Total employment, percent change, 2021-2022","","X",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","1,966",""
"Men-owned employer firms, Reference year 2022","","1,202",""
"Women-owned employer firms, Reference year 2022","","290",""
"Minority-owned employer firms, Reference year 2022","","275",""
"Nonminority-owned employer firms, Reference year 2022","","1,300",""
"Veteran-owned employer firms, Reference year 2022","","59",""
"Nonveteran-owned employer firms, Reference year 2022","","1,512",""
"Population per square mile, 2020","","2,190.3",""
"Population per square mile, 2010","","1,824.8",""
"Land area in square miles, 2020","","30.24",""
"Land area in square miles, 2010","","30.26",""
"FIPS Code","","""2659440""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
