"Fact","Fact Note","Romulus city, Michigan","Value Note for Romulus city, Michigan"
"Population estimates, July 1, 2024, (V2024)","","NA",""
"Population estimates, July 1, 2023, (V2023)","","24,702",""
"Population estimates base, April 1, 2020, (V2024)","","NA",""
"Population estimates base, April 1, 2020, (V2023)","","25,171",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.9%",""
"Population, Census, April 1, 2020","","25,178",""
"Population, Census, April 1, 2010","","23,989",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","27.8%",""
"Persons 65 years and over, percent","","14.0%",""
"Female persons, percent","","51.9%",""
"White alone, percent","","46.5%",""
"Black alone, percent (a)","(a)","44.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.1%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","8.0%",""
"Hispanic or Latino, percent (b)","(b)","1.4%",""
"White alone, not Hispanic or Latino, percent","","45.9%",""
"Veterans, 2019-2023","","993",""
"Foreign-born persons, percent, 2019-2023","","2.7%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","70.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$149,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,394",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$580",""
"Median gross rent, 2019-2023","","$1,050",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","9,122",""
"Persons per household, 2019-2023","","2.72",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.1%",""
"Households with a computer, percent, 2019-2023","","92.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","85.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.9%",""
"Persons without health insurance, under age 65 years, percent","","6.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","66.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","64.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","346,559",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","76,130",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","8,468,945",""
"Total retail sales, 2022 ($1,000)","(c)","3,164,392",""
"Total retail sales per capita, 2022","(c)","$127,283",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.1",""
"Median households income (in 2023 dollars), 2019-2023","","$72,235",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,261",""
"Persons in poverty, percent","","11.0%",""
"Total employer establishments, 2022","","X",""
"Total employment, 2022","","X",""
"Total annual payroll, 2022 ($1,000)","","X",""
"Total employment, percent change, 2021-2022","","X",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","684",""
"Men-owned employer firms, Reference year 2022","","390",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","54",""
"Nonminority-owned employer firms, Reference year 2022","","437",""
"Veteran-owned employer firms, Reference year 2022","","11",""
"Nonveteran-owned employer firms, Reference year 2022","","483",""
"Population per square mile, 2020","","707.1",""
"Population per square mile, 2010","","673.7",""
"Land area in square miles, 2020","","35.61",""
"Land area in square miles, 2010","","35.61",""
"FIPS Code","","""2669420""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
