"Fact","Fact Note","Sturgis city, Michigan","Value Note for Sturgis city, Michigan"
"Population estimates, July 1, 2024, (V2024)","","NA",""
"Population estimates, July 1, 2023, (V2023)","","11,012",""
"Population estimates base, April 1, 2020, (V2024)","","NA",""
"Population estimates base, April 1, 2020, (V2023)","","11,141",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.2%",""
"Population, Census, April 1, 2020","","11,082",""
"Population, Census, April 1, 2010","","10,994",""
"Persons under 5 years, percent","","9.1%",""
"Persons under 18 years, percent","","27.1%",""
"Persons 65 years and over, percent","","13.6%",""
"Female persons, percent","","51.6%",""
"White alone, percent","","74.3%",""
"Black alone, percent (a)","(a)","1.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.8%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","16.7%",""
"Hispanic or Latino, percent (b)","(b)","27.4%",""
"White alone, not Hispanic or Latino, percent","","65.9%",""
"Veterans, 2019-2023","","605",""
"Foreign-born persons, percent, 2019-2023","","12.4%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","58.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$129,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,139",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$468",""
"Median gross rent, 2019-2023","","$793",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","4,392",""
"Persons per household, 2019-2023","","2.49",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","25.5%",""
"Households with a computer, percent, 2019-2023","","86.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","81.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","16.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.1%",""
"Persons without health insurance, under age 65 years, percent","","9.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","29,756",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","69,479",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","13,203",""
"Total retail sales, 2022 ($1,000)","(c)","429,565",""
"Total retail sales per capita, 2022","(c)","$38,917",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","18.0",""
"Median households income (in 2023 dollars), 2019-2023","","$60,640",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$28,741",""
"Persons in poverty, percent","","16.0%",""
"Total employer establishments, 2022","","X",""
"Total employment, 2022","","X",""
"Total annual payroll, 2022 ($1,000)","","X",""
"Total employment, percent change, 2021-2022","","X",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","334",""
"Men-owned employer firms, Reference year 2022","","195",""
"Women-owned employer firms, Reference year 2022","","12",""
"Minority-owned employer firms, Reference year 2022","","8",""
"Nonminority-owned employer firms, Reference year 2022","","239",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","220",""
"Population per square mile, 2020","","1,636.4",""
"Population per square mile, 2010","","1,693.0",""
"Land area in square miles, 2020","","6.77",""
"Land area in square miles, 2010","","6.49",""
"FIPS Code","","""2676960""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
