"Fact","Fact Note","Wyoming city, Michigan","Value Note for Wyoming city, Michigan"
"Population estimates, July 1, 2024, (V2024)","","NA",""
"Population estimates, July 1, 2023, (V2023)","","77,451",""
"Population estimates base, April 1, 2020, (V2024)","","NA",""
"Population estimates base, April 1, 2020, (V2023)","","76,510",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.2%",""
"Population, Census, April 1, 2020","","76,501",""
"Population, Census, April 1, 2010","","72,125",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","23.6%",""
"Persons 65 years and over, percent","","11.5%",""
"Female persons, percent","","49.3%",""
"White alone, percent","","62.9%",""
"Black alone, percent (a)","(a)","10.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.3%",""
"Asian alone, percent (a)","(a)","2.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","16.1%",""
"Hispanic or Latino, percent (b)","(b)","25.1%",""
"White alone, not Hispanic or Latino, percent","","58.6%",""
"Veterans, 2019-2023","","2,790",""
"Foreign-born persons, percent, 2019-2023","","12.8%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","67.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$203,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,338",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$518",""
"Median gross rent, 2019-2023","","$1,141",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","28,906",""
"Persons per household, 2019-2023","","2.64",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","21.9%",""
"Households with a computer, percent, 2019-2023","","94.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.3%",""
"Persons without health insurance, under age 65 years, percent","","6.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","71.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","67.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","206,182",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","835,096",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","519,767",""
"Total retail sales, 2022 ($1,000)","(c)","1,726,832",""
"Total retail sales per capita, 2022","(c)","$22,527",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.4",""
"Median households income (in 2023 dollars), 2019-2023","","$72,163",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,320",""
"Persons in poverty, percent","","10.9%",""
"Total employer establishments, 2022","","X",""
"Total employment, 2022","","X",""
"Total annual payroll, 2022 ($1,000)","","X",""
"Total employment, percent change, 2021-2022","","X",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","1,750",""
"Men-owned employer firms, Reference year 2022","","1,158",""
"Women-owned employer firms, Reference year 2022","","272",""
"Minority-owned employer firms, Reference year 2022","","154",""
"Nonminority-owned employer firms, Reference year 2022","","1,333",""
"Veteran-owned employer firms, Reference year 2022","","15",""
"Nonveteran-owned employer firms, Reference year 2022","","1,467",""
"Population per square mile, 2020","","3,092.1",""
"Population per square mile, 2010","","2,927.3",""
"Land area in square miles, 2020","","24.74",""
"Land area in square miles, 2010","","24.64",""
"FIPS Code","","""2688940""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
