"Fact","Fact Note","Ypsilanti city, Michigan","Value Note for Ypsilanti city, Michigan"
"Population estimates, July 1, 2024, (V2024)","","NA",""
"Population estimates, July 1, 2023, (V2023)","","19,393",""
"Population estimates base, April 1, 2020, (V2024)","","NA",""
"Population estimates base, April 1, 2020, (V2023)","","20,655",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-6.1%",""
"Population, Census, April 1, 2020","","20,648",""
"Population, Census, April 1, 2010","","19,435",""
"Persons under 5 years, percent","","4.7%",""
"Persons under 18 years, percent","","15.9%",""
"Persons 65 years and over, percent","","9.2%",""
"Female persons, percent","","51.3%",""
"White alone, percent","","60.0%",""
"Black alone, percent (a)","(a)","23.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.1%",""
"Asian alone, percent (a)","(a)","5.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","9.5%",""
"Hispanic or Latino, percent (b)","(b)","8.4%",""
"White alone, not Hispanic or Latino, percent","","57.2%",""
"Veterans, 2019-2023","","586",""
"Foreign-born persons, percent, 2019-2023","","10.8%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","33.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$223,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,699",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$642",""
"Median gross rent, 2019-2023","","$1,034",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","8,689",""
"Persons per household, 2019-2023","","2.00",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","68.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","15.6%",""
"Households with a computer, percent, 2019-2023","","96.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","45.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.5%",""
"Persons without health insurance, under age 65 years, percent","","7.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","57,977",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","251,667",""
"Total retail sales, 2022 ($1,000)","(c)","155,124",""
"Total retail sales per capita, 2022","(c)","$7,859",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.5",""
"Median households income (in 2023 dollars), 2019-2023","","$44,141",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,270",""
"Persons in poverty, percent","","25.5%",""
"Total employer establishments, 2022","","X",""
"Total employment, 2022","","X",""
"Total annual payroll, 2022 ($1,000)","","X",""
"Total employment, percent change, 2021-2022","","X",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","395",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","87",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","4,811.9",""
"Population per square mile, 2010","","4,489.0",""
"Land area in square miles, 2020","","4.29",""
"Land area in square miles, 2010","","4.33",""
"FIPS Code","","""2689140""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
